num_nodes,num_images,time,stddev,median
1,50,337.4711799612313,87239.10506726545,338.06283235802204
1,100,450.0930117208721,327667.0660433861,450.31353079581663
1,500,593.3400428225376,53896.90824105595,589.8908053130285
1,1000,623.2354645908771,59779.6361381595,620.8519330224934
1,5000,619.2142938436849,197965.67782726817,618.8249010189571
1,10000,621.1361449682072,436152.5394442099,621.1180124223602
2,50,465.8199922487553,1481.3567124688452,619.8628863295439
2,100,666.4351915101488,141212.3063556838,665.6770268201275
2,500,1079.1889420257542,64464.17770351225,1077.9126006905108
2,1000,1147.5464767798562,50484.14227450712,1132.957040534937
2,5000,1180.4415937566914,125593.56762722465,1176.6906986130348
2,10000,1168.8588419437515,101824.40902486585,1169.6262108555347
4,50,328.9551594643031,1402.926557771048,313.33032536220986
4,100,1052.1398420106814,3624.8367069093474,1243.0080795525173
4,500,2219.7903186065046,340891.5057805796,2221.057401007472
4,1000,2158.924009545035,105610.35547873005,2156.0413356244862
4,5000,2345.530404172417,160051.52765719328,2335.7937027001776
4,10000,2366.984355416903,243266.78713005062,2359.798473210388
8,50,314.471935581053,2996.786260432869,322.45582355217334
8,100,648.3545410103698,15551.465592686847,650.6456030996758
8,500,3292.0856943074564,411759.4776814998,3302.8589547111974
8,1000,4368.090227271735,514351.26268470136,4379.7794343076885
8,5000,4486.256353660561,248875.30263561138,4446.203164807413
8,10000,4631.383551733943,267931.35944298847,4605.885861542465
16,50,327.4915392560834,40612.750528054414,327.2176357216949
16,100,617.8285550472885,4704.8167776629425,643.8839077314361
16,500,3427.44879220132,24384.31465709704,3268.7536569181534
16,1000,6554.858264299751,926091.0713271756,6574.9677826578645
16,5000,8793.795519983283,951157.1150621759,8787.570157763248
16,10000,9092.157196124195,733314.0577096437,9031.628763931289
32,50,635.8524110251722,20923.785480293314,641.4985405908202
32,100,642.3515204460489,42801.03986108754,639.2799151036272
32,500,2631.447374999671,34556.04853167446,2723.9124098725483
32,1000,6483.688336882072,326394.3897491731,6472.387178201
32,5000,16216.517755789622,1916101.2874163585,16277.26034175736
32,10000,17685.14534448276,2412223.5283573368,17707.232164833084
64,50,14959.310674964097,1240561.1225355421,14965.579167913796
64,100,1279.4939345590033,139078.68345791072,1285.0249616098793
64,500,2820.5068902162825,16530.248158619863,3154.594035293598
64,1000,5033.492861500424,44730.83152991485,5411.621457079077
64,5000,32422.372734081426,1791730.6092699026,32719.622284680347
64,10000,32309.634862354495,2195676.4481128543,32617.913758236027
128,50,15075.679913164082,482718.1406449525,15211.439002129602
128,100,29663.02800189843,559910.4143337067,29962.5468164794
128,500,3062.4138313308217,23760.69073110965,3200.3891673227463
128,1000,5125.957592952834,42393.7081926046,5210.409355811039
128,5000,31363.85077832532,240805.31015138124,32736.867605560026
128,10000,65416.81303678584,6832603.241031485,65700.64813689387
